key,context,en,en-GB,de,fr,es,ja,zh,it,pt,pt-BR,ca,gl,ro,nl,da,no,sv,fi,pl,cs,sk,ru,uk,be,bg,sr,lv,hu,ko,zh-TW,th,vi,id,ms,km,ta,si,ar,fa,he,am,bn,ne,sa,ka,kab,el,tr,uz,sq,ga
modal.template.title,"Heading of the dialog that shows the bundled example template. `Templater` is the community plugin's name and is never translated, whatever case the English uses around it.",Example template: copy and place in your templater plugin specified template directory,Example template: copy and place in your templater plugin specified template directory,Beispielvorlage: kopieren und in den in Templater eingestellten Vorlagenordner legen,Modèle d'exemple : copiez-le dans le dossier de modèles défini dans Templater,Plantilla de ejemplo: cópiala en la carpeta de plantillas indicada en Templater,サンプルテンプレート: コピーして Templater で指定したテンプレートフォルダーに置いてください,示例模板：复制后放入 Templater 中指定的模板目录,Modello di esempio: copialo nella cartella dei modelli indicata in Templater,Modelo de exemplo: copie-o para a pasta de modelos definida no Templater,Modelo de exemplo: copie para a pasta de modelos definida no Templater,Plantilla d'exemple: copia-la a la carpeta de plantilles indicada al Templater,Modelo de exemplo: cópiao ao cartafol de modelos indicado no Templater,Șablon de exemplu: copiază-l în folderul de șabloane definit în Templater,Voorbeeldsjabloon: kopieer het naar de sjabloonmap die in Templater is ingesteld,"Eksempelskabelon: kopiér den til skabelonmappen, der er angivet i Templater",Eksempelmal: kopier den til malmappen som er angitt i Templater,Exempelmall: kopiera den till mallmappen som anges i Templater,Esimerkkimalli: kopioi se Templaterissa määritettyyn mallikansioon,Przykładowy szablon: skopiuj go do folderu szablonów wskazanego w Templaterze,Ukázková šablona: zkopírujte ji do složky šablon nastavené v Templateru,Ukážková šablóna: skopírujte ju do priečinka šablón nastaveného v Templateru,"Пример шаблона: скопируйте его в папку шаблонов, указанную в Templater","Приклад шаблону: скопіюйте його до теки шаблонів, указаної в Templater","Прыклад шаблона: скапіруйце яго ў тэчку шаблонаў, пазначаную ў Templater","Примерен шаблон: копирайте го в папката с шаблони, зададена в Templater",Пример шаблона: копирајте га у фасциклу шаблона наведену у Templater-у,"Veidnes paraugs: kopējiet to veidņu mapē, kas norādīta Templater iestatījumos",Példasablon: másold a Templaterben megadott sablonmappába,예시 템플릿: 복사해서 Templater에 지정된 템플릿 폴더에 넣으세요,範例範本：複製後放入 Templater 指定的範本資料夾,เทมเพลตตัวอย่าง: คัดลอกไปไว้ในโฟลเดอร์เทมเพลตที่ตั้งไว้ใน Templater,Mẫu ví dụ: sao chép vào thư mục mẫu đã đặt trong Templater,Contoh templat: salin ke folder templat yang diatur di Templater,Templat contoh: salin ke folder templat yang ditetapkan dalam Templater,គំរូឧទាហរណ៍៖ ចម្លងទៅថតគំរូដែលបានកំណត់ក្នុង Templater,எடுத்துக்காட்டு வார்ப்புரு: நகலெடுத்து Templater இல் குறித்த வார்ப்புரு கோப்புறையில் வைக்கவும்,උදාහරණ සැකිල්ල: පිටපත් කර Templater හි දක්වා ඇති සැකිලි ෆෝල්ඩරයේ තබන්න,قالب نموذجي: انسخه إلى مجلد القوالب المحدد في Templater,الگوی نمونه: آن را در پوشهٔ الگوهای تعیین‌شده در Templater بگذارید,תבנית לדוגמה: העתק אותה לתיקיית התבניות שהוגדרה ב-Templater,የናሙና አብነት፦ በTemplater በተጠቀሰው የአብነት አቃፊ ውስጥ ይቅዱት,উদাহরণ টেমপ্লেট: Templater-এ নির্ধারিত টেমপ্লেট ফোল্ডারে কপি করুন,नमुना टेम्प्लेट: Templater मा तोकिएको टेम्प्लेट फोल्डरमा प्रतिलिपि गर्नुहोस्,उदाहरणादर्शः: Templater इत्यत्र निर्दिष्टे आदर्शनिधौ प्रतिलिपिं स्थापयतु,ნიმუშის შაბლონი: დააკოპირეთ Templater-ში მითითებულ შაბლონების საქაღალდეში,Taneɣruft n umedya: nɣel-itt ɣer ukaram n tneɣrufin yettwabedren deg Templater,Πρότυπο δείγματος: αντιγράψτε το στον φάκελο προτύπων που ορίζεται στο Templater,Örnek şablon: Templater'da belirtilen şablon klasörüne kopyalayın,Namuna andoza: uni Templater da koʻrsatilgan andoza jildiga nusxalang,Model shembull: kopjojeni te dosja e modeleve e caktuar në Templater,Teimpléad samplach: cóipeáil é go fillteán na dteimpléad atá socraithe i Templater
modal.template.copy,"The copy control in the example-template dialog — it labels the clickable text, the icon button's tooltip, and what the label reverts to after a copy. Two words; it sits next to a small icon.",Copy template,Copy template,Vorlage kopieren,Copier le modèle,Copiar plantilla,テンプレートをコピー,复制模板,Copia il modello,Copiar modelo,Copiar modelo,Copia la plantilla,Copiar modelo,Copiază șablonul,Sjabloon kopiëren,Kopiér skabelon,Kopier mal,Kopiera mall,Kopioi malli,Kopiuj szablon,Kopírovat šablonu,Kopírovať šablónu,Копировать шаблон,Копіювати шаблон,Скапіраваць шаблон,Копиране на шаблона,Копирај шаблон,Kopēt veidni,Sablon másolása,템플릿 복사,複製範本,คัดลอกเทมเพลต,Sao chép mẫu,Salin templat,Salin templat,ចម្លងគំរូ,வார்ப்புருவை நகலெடு,සැකිල්ල පිටපත් කරන්න,نسخ القالب,کپی الگو,העתק תבנית,አብነት ቅዳ,টেমপ্লেট কপি করুন,टेम्प्लेट प्रतिलिपि,आदर्शप्रतिलिपिः,შაბლონის კოპირება,Nɣel taneɣruft,Αντιγραφή προτύπου,Şablonu kopyala,Andozani nusxalash,Kopjo modelin,Cóipeáil teimpléad
modal.template.copied,Replaces modal.template.copy for two seconds after the template has been copied to the clipboard. One word — it must fit where the longer label sat.,Copied,Copied,Kopiert,Copié,Copiado,コピーしました,已复制,Copiato,Copiado,Copiado,Copiat,Copiado,Copiat,Gekopieerd,Kopieret,Kopiert,Kopierad,Kopioitu,Skopiowano,Zkopírováno,Skopírované,Скопировано,Скопійовано,Скапіравана,Копирано,Копирано,Nokopēts,Másolva,복사됨,已複製,คัดลอกแล้ว,Đã sao chép,Tersalin,Disalin,បានចម្លង,நகலெடுக்கப்பட்டது,පිටපත් විය,تم النسخ,کپی شد,הועתק,ተቀድቷል,কপি হয়েছে,प्रतिलिपि भयो,प्रतिलिपितम्,დაკოპირდა,Yettwanɣel,Αντιγράφηκε,Kopyalandı,Nusxalandi,U kopjua,Cóipeáilte
modal.template.copyFailed,Replaces modal.template.copy for two seconds when writing to the clipboard failed. Keep it as short as modal.template.copied — it sits in the same slot.,Failed to copy,Failed to copy,Kopieren fehlgeschlagen,Échec de la copie,Error al copiar,コピーできませんでした,复制失败,Copia non riuscita,Falha ao copiar,Falha ao copiar,No s'ha pogut copiar,Erro ao copiar,Copierea a eșuat,Kopiëren mislukt,Kopiering mislykkedes,Kopiering mislyktes,Kopieringen misslyckades,Kopiointi epäonnistui,Nie udało się skopiować,Kopírování selhalo,Kopírovanie zlyhalo,Не удалось скопировать,Не вдалося скопіювати,Не ўдалося скапіраваць,Копирането е неуспешно,Копирање није успело,Neizdevās nokopēt,A másolás nem sikerült,복사 실패,複製失敗,คัดลอกไม่สำเร็จ,Sao chép thất bại,Gagal menyalin,Gagal menyalin,ចម្លងមិនបាន,நகலெடுக்க முடியவில்லை,පිටපත් කිරීම අසාර්ථකයි,تعذّر النسخ,کپی نشد,ההעתקה נכשלה,መቅዳት አልተሳካም,কপি করা যায়নি,प्रतिलिपि गर्न सकिएन,प्रतिलिपिः न सफला,კოპირება ვერ მოხერხდა,Ur yeddi ara unɣal,Η αντιγραφή απέτυχε,Kopyalanamadı,Nusxalab boʻlmadi,Kopjimi dështoi,Theip ar an gcóipeáil
modal.template.explanation,Paragraph under the example template explaining what it is for. `Templater` is the community plugin's name and `YouTube` the video service; neither is translated.,This is the example templater plugin template used for YouTube transcript notes. You can customize this template for your own needs.,This is the example templater plugin template used for YouTube transcript notes. You can customise this template for your own needs.,Dies ist die Beispielvorlage des Templater-Plugins für YouTube-Transkriptnotizen. Du kannst sie an deine Bedürfnisse anpassen.,Voici le modèle Templater d'exemple utilisé pour les notes de transcription YouTube. Vous pouvez l'adapter à vos besoins.,Esta es la plantilla de ejemplo de Templater que se usa para las notas de transcripciones de YouTube. Puedes adaptarla a tus necesidades.,YouTube 文字起こしノート用の Templater サンプルテンプレートです。自分の用途に合わせて変更できます。,这是用于 YouTube 字幕笔记的 Templater 示例模板。你可以按自己的需要修改它。,Questo è il modello Templater di esempio usato per le note di trascrizione YouTube. Puoi adattarlo alle tue esigenze.,Este é o modelo Templater de exemplo usado nas notas de transcrição do YouTube. Pode adaptá-lo às suas necessidades.,Este é o modelo Templater de exemplo usado nas notas de transcrição do YouTube. Você pode adaptá-lo às suas necessidades.,Aquesta és la plantilla Templater d'exemple que s'usa per a les notes de transcripció de YouTube. Pots adaptar-la a les teves necessitats.,Este é o modelo Templater de exemplo usado nas notas de transcrición de YouTube. Podes adaptalo ás túas necesidades.,Acesta este șablonul Templater de exemplu folosit pentru notițele de transcriere YouTube. Îl poți adapta la nevoile tale.,Dit is het voorbeeldsjabloon van Templater voor YouTube-transcriptienotities. Je kunt het aan je eigen wensen aanpassen.,"Dette er den Templater-eksempelskabelon, der bruges til YouTube-transskriptionsnoter. Du kan tilpasse den til dine behov.",Dette er Templater-eksempelmalen som brukes til YouTube-transkripsjonsnotater. Du kan tilpasse den til dine behov.,Detta är Templater-exempelmallen som används för YouTube-transkriptionsanteckningar. Du kan anpassa den efter dina behov.,Tämä on Templaterin esimerkkimalli YouTube-tekstitysmuistiinpanoille. Voit muokata sitä tarpeisiisi.,To przykładowy szablon Templatera używany do notatek z transkrypcji YouTube. Możesz dostosować go do swoich potrzeb.,Toto je ukázková šablona Templateru pro poznámky z přepisů YouTube. Můžete si ji upravit podle svých potřeb.,Toto je ukážková šablóna Templateru pre poznámky z prepisov YouTube. Môžete si ju upraviť podľa svojich potrieb.,Это пример шаблона Templater для заметок с расшифровками YouTube. Вы можете изменить его под свои задачи.,Це приклад шаблону Templater для нотаток із розшифровками YouTube. Ви можете змінити його під свої потреби.,Гэта прыклад шаблона Templater для нататак з расшыфроўкамі YouTube. Вы можаце змяніць яго пад свае патрэбы.,Това е примерният шаблон на Templater за бележки с транскрипции от YouTube. Можете да го промените според нуждите си.,Ово је пример Templater шаблона за белешке са YouTube транскриптима. Можете га прилагодити својим потребама.,Šis ir Templater paraugveidne YouTube atšifrējumu piezīmēm. Jūs varat to pielāgot savām vajadzībām.,Ez a Templater példasablon a YouTube-átiratok jegyzeteihez. Igényeid szerint szabadon alakíthatod.,YouTube 스크립트 노트에 쓰이는 Templater 예시 템플릿입니다. 필요에 맞게 고쳐 쓸 수 있습니다.,這是用於 YouTube 逐字稿筆記的 Templater 範例範本。你可以依自己的需求修改。,นี่คือเทมเพลตตัวอย่างของ Templater สำหรับโน้ตคำบรรยาย YouTube คุณปรับแก้ได้ตามต้องการ,Đây là mẫu Templater ví dụ dùng cho ghi chú chép lời YouTube. Bạn có thể sửa cho phù hợp nhu cầu.,Ini adalah contoh templat Templater untuk catatan transkrip YouTube. Kamu bisa menyesuaikannya dengan kebutuhanmu.,Ini ialah templat contoh Templater untuk nota transkrip YouTube. Anda boleh mengubahnya mengikut keperluan.,នេះគឺជាគំរូឧទាហរណ៍របស់ Templater សម្រាប់កំណត់ត្រាអត្ថបទ YouTube។ អ្នកអាចកែតាមតម្រូវការរបស់អ្នក។,இது YouTube எழுத்துப்படி குறிப்புகளுக்கான Templater எடுத்துக்காட்டு வார்ப்புரு. உங்கள் தேவைக்கேற்ப மாற்றிக்கொள்ளலாம்.,මෙය YouTube පිටපත් සටහන් සඳහා භාවිත වන Templater උදාහරණ සැකිල්ලයි. ඔබේ අවශ්‍යතාවට අනුව එය වෙනස් කළ හැකිය.,هذا قالب Templater النموذجي المستخدم لملاحظات نصوص YouTube. يمكنك تعديله بما يناسب احتياجك.,این الگوی نمونهٔ Templater برای یادداشت‌های رونویسی YouTube است. می‌توانید آن را به دلخواه تغییر دهید.,זו תבנית Templater לדוגמה המשמשת לפתקי תמלילי YouTube. אפשר להתאים אותה לצרכים שלך.,ይህ ለYouTube ግልባጭ ማስታወሻዎች የሚያገለግል የTemplater ናሙና አብነት ነው። እንደ ፍላጎትዎ ማስተካከል ይችላሉ።,এটি YouTube প্রতিলিপি নোটের জন্য ব্যবহৃত Templater উদাহরণ টেমপ্লেট। নিজের প্রয়োজনমতো এটি বদলে নিতে পারেন।,यो YouTube प्रतिलिपि नोटका लागि प्रयोग हुने Templater नमुना टेम्प्लेट हो। आफ्नो आवश्यकताअनुसार बदल्न सक्नुहुन्छ।,एषः YouTube लेखनटिप्पणीनां कृते प्रयुक्तः Templater इत्यस्य उदाहरणादर्शः। स्वापेक्षानुसारं परिवर्तयितुं शक्यते।,ეს არის Templater-ის ნიმუშის შაბლონი YouTube-ის ტრანსკრიპტების შენიშვნებისთვის. შეგიძლიათ მოირგოთ საკუთარ საჭიროებებს.,Tagi d taneɣruft n umedya n Templater i tezmilin n uwennit n YouTube. Tzemreḍ ad tt-tesnifleḍ akken i ak-yehwa.,Αυτό είναι το πρότυπο δείγματος του Templater για σημειώσεις απομαγνητοφώνησης YouTube. Μπορείτε να το προσαρμόσετε στις ανάγκες σας.,"Bu, YouTube deşifre notları için kullanılan örnek Templater şablonudur. Kendi ihtiyacınıza göre değiştirebilirsiniz.",Bu YouTube matn qaydnomalari uchun ishlatiladigan Templater namuna andozasi. Uni oʻz ehtiyojingizga moslashtirishingiz mumkin.,Ky është modeli shembull i Templater për shënimet e transkripteve YouTube. Mund ta përshtatni sipas nevojave tuaja.,Seo an teimpléad samplach Templater a úsáidtear le nótaí tras-scríbhinní YouTube. Is féidir leat é a chur in oiriúint duit féin.
modal.template.variablesHeading,"Heading above the list of Templater variables the bundled template understands. It introduces a list, so the trailing colon is part of it.",Available template variables:,Available template variables:,Verfügbare Vorlagenvariablen:,Variables de modèle disponibles :,Variables de plantilla disponibles:,使用できるテンプレート変数:,可用的模板变量：,Variabili del modello disponibili:,Variáveis de modelo disponíveis:,Variáveis de modelo disponíveis:,Variables de plantilla disponibles:,Variables de modelo dispoñibles:,Variabile de șablon disponibile:,Beschikbare sjabloonvariabelen:,Tilgængelige skabelonvariabler:,Tilgjengelige malvariabler:,Tillgängliga mallvariabler:,Käytettävissä olevat mallimuuttujat:,Dostępne zmienne szablonu:,Dostupné proměnné šablony:,Dostupné premenné šablóny:,Доступные переменные шаблона:,Доступні змінні шаблону:,Даступныя зменныя шаблона:,Налични променливи на шаблона:,Доступне променљиве шаблона:,Pieejamie veidnes mainīgie:,Elérhető sablonváltozók:,사용할 수 있는 템플릿 변수:,可用的範本變數：,ตัวแปรเทมเพลตที่ใช้ได้:,Các biến mẫu khả dụng:,Variabel templat yang tersedia:,Pemboleh ubah templat yang ada:,អថេរគំរូដែលមាន៖,கிடைக்கும் வார்ப்புரு மாறிகள்:,ලබාගත හැකි සැකිලි විචල්‍ය:,متغيرات القالب المتاحة:,متغیرهای در دسترس الگو:,משתני תבנית זמינים:,የሚገኙ የአብነት ተለዋዋጮች፦,উপলব্ধ টেমপ্লেট ভেরিয়েবল:,उपलब्ध टेम्प्लेट चल:,उपलब्धाः आदर्शचराः:,ხელმისაწვდომი შაბლონის ცვლადები:,Imuttiyen n tneɣruft yellan:,Διαθέσιμες μεταβλητές προτύπου:,Kullanılabilir şablon değişkenleri:,Mavjud andoza oʻzgaruvchilari:,Variablat e disponueshme të modelit:,Athróga teimpléid atá ar fáil:
modal.template.loadError,Shown in place of the example template when the file could not be read from either the plugin folder or the vault's templates folder.,Could not load template file. Please check that the template exists in your plugin directory or vault templates folder.,Could not load template file. Please check that the template exists in your plugin directory or vault templates folder.,"Die Vorlagendatei konnte nicht geladen werden. Prüfe, ob sie im Plugin-Ordner oder im Vorlagenordner des Tresors liegt.",Impossible de charger le fichier de modèle. Vérifiez qu'il existe dans le dossier du plugin ou dans le dossier de modèles du coffre.,No se ha podido cargar el archivo de plantilla. Comprueba que existe en la carpeta del plugin o en la de plantillas del almacén.,テンプレートファイルを読み込めませんでした。プラグインのフォルダーか保管庫のテンプレートフォルダーにあるか確認してください。,无法加载模板文件。请确认它存在于插件目录或仓库的模板文件夹中。,Impossibile caricare il file del modello. Verifica che esista nella cartella del plugin o in quella dei modelli del vault.,Não foi possível carregar o ficheiro de modelo. Verifique se existe na pasta do plugin ou na pasta de modelos do cofre.,Não foi possível carregar o arquivo de modelo. Verifique se ele existe na pasta do plugin ou na pasta de modelos do cofre.,No s'ha pogut carregar el fitxer de plantilla. Comprova que existeix a la carpeta del complement o a la de plantilles del magatzem.,Non foi posible cargar o ficheiro de modelo. Comproba que existe no cartafol do complemento ou no de modelos do cofre.,Fișierul șablon nu a putut fi încărcat. Verifică dacă există în folderul pluginului sau în cel de șabloane al seifului.,Kan het sjabloonbestand niet laden. Controleer of het in de plug-inmap of in de sjabloonmap van de kluis staat.,"Kunne ikke indlæse skabelonfilen. Kontrollér, at den findes i pluginmappen eller i hvælvingens skabelonmappe.",Kunne ikke laste malfilen. Kontroller at den finnes i tilleggsmappen eller i hvelvets malmappe.,Kunde inte läsa in mallfilen. Kontrollera att den finns i tilläggsmappen eller i valvets mallmapp.,"Mallitiedostoa ei voitu ladata. Tarkista, että se on lisäosan kansiossa tai holvin mallikansiossa.","Nie można wczytać pliku szablonu. Sprawdź, czy istnieje w folderze wtyczki lub w folderze szablonów skarbca.","Soubor šablony nelze načíst. Ověřte, že existuje ve složce pluginu nebo ve složce šablon trezoru.","Súbor šablóny sa nedá načítať. Overte, že existuje v priečinku pluginu alebo v priečinku šablón trezora.","Не удалось загрузить файл шаблона. Проверьте, есть ли он в папке плагина или в папке шаблонов хранилища.","Не вдалося завантажити файл шаблону. Перевірте, чи є він у теці плагіна або в теці шаблонів сховища.","Не ўдалося загрузіць файл шаблона. Праверце, ці ёсць ён у тэчцы плагіна або ў тэчцы шаблонаў сховішча.",Файлът с шаблона не може да бъде зареден. Проверете дали съществува в папката на приставката или в папката с шаблони на хранилището.,Није могуће учитати датотеку шаблона. Проверите да ли постоји у фасцикли додатка или у фасцикли шаблона трезора.,"Neizdevās ielādēt veidnes failu. Pārbaudiet, vai tas ir spraudņa mapē vai glabātavas veidņu mapē.","A sablonfájl nem tölthető be. Ellenőrizd, hogy ott van-e a bővítmény mappájában vagy a tár sablonmappájában.",템플릿 파일을 불러올 수 없습니다. 플러그인 폴더나 보관함의 템플릿 폴더에 있는지 확인하세요.,無法載入範本檔案。請確認它存在於外掛資料夾或儲存庫的範本資料夾中。,โหลดไฟล์เทมเพลตไม่ได้ ตรวจสอบว่ามีอยู่ในโฟลเดอร์ปลั๊กอินหรือโฟลเดอร์เทมเพลตของห้องนิรภัย,Không tải được tệp mẫu. Hãy kiểm tra tệp có trong thư mục plugin hoặc thư mục mẫu của kho.,Tidak dapat memuat berkas templat. Pastikan berkas ada di folder plugin atau folder templat brankas.,Tidak dapat memuatkan fail templat. Pastikan fail ada dalam folder pemalam atau folder templat bilik kebal.,មិនអាចផ្ទុកឯកសារគំរូបានទេ។ សូមពិនិត្យថាវាមានក្នុងថតកម្មវិធីជំនួយ ឬថតគំរូរបស់ឃ្លាំង។,வார்ப்புரு கோப்பை ஏற்ற முடியவில்லை. செருகுநிரல் கோப்புறையிலோ சேமிப்பகத்தின் வார்ப்புரு கோப்புறையிலோ உள்ளதா எனப் பாருங்கள்.,සැකිලි ගොනුව පූරණය කළ නොහැකි විය. එය ප්ලගින ෆෝල්ඩරයේ හෝ ගබඩාවේ සැකිලි ෆෝල්ඩරයේ ඇතිදැයි පරීක්ෂා කරන්න.,تعذّر تحميل ملف القالب. تأكد من وجوده في مجلد الإضافة أو في مجلد قوالب الخزنة.,فایل الگو بارگذاری نشد. مطمئن شوید در پوشهٔ افزونه یا پوشهٔ الگوهای گنجینه هست.,לא ניתן לטעון את קובץ התבנית. ודא שהוא קיים בתיקיית התוסף או בתיקיית התבניות של הכספת.,የአብነት ፋይሉን መጫን አልተቻለም። በተሰኪው አቃፊ ወይም በመዝገቡ የአብነት አቃፊ ውስጥ መኖሩን ያረጋግጡ።,টেমপ্লেট ফাইল লোড করা যায়নি। প্লাগইন ফোল্ডারে বা ভল্টের টেমপ্লেট ফোল্ডারে আছে কি না দেখুন।,टेम्प्लेट फाइल लोड गर्न सकिएन। प्लगइन फोल्डर वा भल्टको टेम्प्लेट फोल्डरमा छ कि छैन जाँच्नुहोस्।,आदर्शसञ्चिका न आरोपिता। सा उपकरणनिधौ कोशस्य आदर्शनिधौ वा विद्यते इति परीक्ष्यताम्।,"შაბლონის ფაილის ჩატვირთვა ვერ მოხერხდა. შეამოწმეთ, არის თუ არა ის დანამატის საქაღალდეში ან საცავის შაბლონების საქაღალდეში.",Ur nezmir ara ad d-nesali afaylu n tneɣruft. Senqed ma yella deg ukaram n uzegrir neɣ deg ukaram n tneɣrufin n tsenduqt.,Δεν ήταν δυνατή η φόρτωση του αρχείου προτύπου. Ελέγξτε ότι υπάρχει στον φάκελο του πρόσθετου ή στον φάκελο προτύπων του θησαυροφυλακίου.,Şablon dosyası yüklenemedi. Eklenti klasöründe veya kasanın şablon klasöründe olduğundan emin olun.,Andoza fayli yuklanmadi. U plagin jildida yoki xazina andoza jildida borligini tekshiring.,Skedari i modelit nuk u ngarkua dot. Kontrolloni që ndodhet në dosjen e shtojcës ose te dosja e modeleve e kasafortës.,Níorbh fhéidir an comhad teimpléid a luchtú. Deimhnigh go bhfuil sé i bhfillteán an bhreiseáin nó i bhfillteán teimpléad na taisce.
notice.collection.extractingName,"Transient notice while the plugin asks the YouTube API what a playlist is called, before any video is processed.",Extracting playlist name...,Extracting playlist name...,Playlist-Name wird ermittelt …,Récupération du nom de la playlist…,Obteniendo el nombre de la lista de reproducción…,再生リスト名を取得中…,正在获取播放列表名称…,Recupero del nome della playlist…,A obter o nome da lista de reprodução…,Obtendo o nome da playlist…,S'està obtenint el nom de la llista de reproducció…,Obtendo o nome da lista de reprodución…,Se obține numele playlistului…,Naam van afspeellijst ophalen…,Henter playlistens navn …,Henter spillelistens navn …,Hämtar spellistans namn …,Haetaan soittolistan nimeä…,Pobieranie nazwy playlisty…,Zjišťuji název playlistu…,Zisťujem názov playlistu…,Получение названия плейлиста…,Отримання назви плейлиста…,Атрыманне назвы плэйліста…,Извличане на името на плейлиста…,Преузимање назива плејлисте…,Tiek iegūts atskaņošanas saraksta nosaukums…,Lejátszási lista nevének lekérése…,재생목록 이름 가져오는 중…,正在取得播放清單名稱…,กำลังดึงชื่อเพลย์ลิสต์…,Đang lấy tên danh sách phát…,Mengambil nama daftar putar…,Mendapatkan nama senarai main…,កំពុងទាញយកឈ្មោះបញ្ជីចាក់…,இயக்கப்பட்டியல் பெயரைப் பெறுகிறது…,ධාවන ලැයිස්තුවේ නම ලබාගනිමින්…,جارٍ جلب اسم قائمة التشغيل…,در حال گرفتن نام فهرست پخش…,מאחזר את שם הפלייליסט…,የዝርዝሩን ስም በማምጣት ላይ…,প্লেলিস্টের নাম আনা হচ্ছে…,प्लेलिस्टको नाम ल्याउँदै…,गीतावल्याः नाम प्राप्यते…,მიმდინარეობს დასაკრავი სიის სახელის მიღება…,Yettwawi-d yisem n tebdart n urar…,Ανάκτηση ονόματος λίστας αναπαραγωγής…,Oynatma listesi adı alınıyor…,Ijro roʻyxati nomi olinmoqda…,Po merret emri i listës së luajtjes…,Ainm an tseinmliosta á fháil…
notice.collection.playlistFound,"Notice naming the playlist that was just identified. {name} is the playlist's own title from YouTube and passes through verbatim — never translated. Distinct from notice.collection.found, which reports a video count.",Found playlist: {name},Found playlist: {name},Playlist gefunden: {name},Playlist trouvée : {name},Lista de reproducción encontrada: {name},再生リストを検出: {name},已找到播放列表：{name},Playlist trovata: {name},Lista de reprodução encontrada: {name},Playlist encontrada: {name},Llista de reproducció trobada: {name},Lista de reprodución atopada: {name},Playlist găsit: {name},Afspeellijst gevonden: {name},Playliste fundet: {name},Spilleliste funnet: {name},Spellista hittad: {name},Soittolista löytyi: {name},Znaleziono playlistę: {name},Nalezen playlist: {name},Nájdený playlist: {name},Найден плейлист: {name},Знайдено плейлист: {name},Знойдзены плэйліст: {name},Открит плейлист: {name},Пронађена плејлиста: {name},Atrasts atskaņošanas saraksts: {name},Lejátszási lista: {name},재생목록 찾음: {name},已找到播放清單：{name},พบเพลย์ลิสต์: {name},Đã tìm thấy danh sách phát: {name},Daftar putar ditemukan: {name},Senarai main dijumpai: {name},រកឃើញបញ្ជីចាក់៖ {name},இயக்கப்பட்டியல் கிடைத்தது: {name},ධාවන ලැයිස්තුව හමු විය: {name},تم العثور على قائمة التشغيل: {name},فهرست پخش پیدا شد: {name},נמצא פלייליסט: {name},ዝርዝር ተገኝቷል፦ {name},প্লেলিস্ট পাওয়া গেছে: {name},प्लेलिस्ट भेटियो: {name},गीतावली प्राप्ता: {name},ნაპოვნია დასაკრავი სია: {name},Tabdart n urar tettwaf: {name},Βρέθηκε λίστα αναπαραγωγής: {name},Oynatma listesi bulundu: {name},Ijro roʻyxati topildi: {name},U gjet lista e luajtjes: {name},Aimsíodh seinmliosta: {name}
notice.collection.start.playlist,"Notice as a whole PLAYLIST starts processing. Its sibling notice.collection.start.channel says the same for a channel — they are two whole sentences rather than one with the word spliced in, because the noun's case, gender and agreement differ by language. {name} is the playlist's own title and passes through verbatim. `YouTube` is never translated.",Starting to process YouTube playlist: {name},Starting to process YouTube playlist: {name},YouTube-Playlist wird verarbeitet: {name},Traitement de la playlist YouTube : {name},Procesando la lista de reproducción de YouTube: {name},YouTube の再生リストの処理を開始: {name},开始处理 YouTube 播放列表：{name},Avvio elaborazione della playlist YouTube: {name},A processar a lista de reprodução do YouTube: {name},Iniciando o processamento da playlist do YouTube: {name},Comença el processament de la llista de reproducció de YouTube: {name},Comezando o procesamento da lista de reprodución de YouTube: {name},Începe procesarea playlistului YouTube: {name},Verwerking van YouTube-afspeellijst gestart: {name},Behandler YouTube-playliste: {name},Behandler YouTube-spilleliste: {name},Bearbetar YouTube-spellista: {name},Käsitellään YouTube-soittolistaa: {name},Rozpoczynam przetwarzanie playlisty YouTube: {name},Zahajuji zpracování playlistu YouTube: {name},Začínam spracovanie playlistu YouTube: {name},Начинается обработка плейлиста YouTube: {name},Починається обробка плейлиста YouTube: {name},Пачынаецца апрацоўка плэйліста YouTube: {name},Започва обработката на плейлиста в YouTube: {name},Почиње обрада YouTube плејлисте: {name},Sākas YouTube atskaņošanas saraksta apstrāde: {name},Kezdődik a YouTube-lejátszási lista feldolgozása: {name},YouTube 재생목록 처리 시작: {name},開始處理 YouTube 播放清單：{name},เริ่มประมวลผลเพลย์ลิสต์ YouTube: {name},Bắt đầu xử lý danh sách phát YouTube: {name},Mulai memproses daftar putar YouTube: {name},Mula memproses senarai main YouTube: {name},ចាប់ផ្តើមដំណើរការបញ្ជីចាក់ YouTube៖ {name},YouTube இயக்கப்பட்டியலைச் செயலாக்கத் தொடங்குகிறது: {name},YouTube ධාවන ලැයිස්තුව සැකසීම ආරම්භ වේ: {name},بدء معالجة قائمة تشغيل YouTube: {name},شروع پردازش فهرست پخش YouTube: {name},מתחיל לעבד פלייליסט של YouTube: {name},የYouTube ዝርዝር ማስኬድ ተጀምሯል፦ {name},YouTube প্লেলিস্ট প্রক্রিয়াকরণ শুরু: {name},YouTube प्लेलिस्ट प्रशोधन सुरु: {name},YouTube गीतावल्याः संसाधनम् आरभते: {name},იწყება YouTube-ის დასაკრავი სიის დამუშავება: {name},Yebda usesfeḍ n tebdart n urar n YouTube: {name},Έναρξη επεξεργασίας λίστας αναπαραγωγής YouTube: {name},YouTube oynatma listesi işleniyor: {name},YouTube ijro roʻyxati qayta ishlanmoqda: {name},Fillon përpunimi i listës së luajtjes YouTube: {name},Ag tosú ar sheinmliosta YouTube a phróiseáil: {name}
